urn:lsid:ipni.org:names:327222-2,Tamonea,Aubl. ex Krasser,gen.,Melastomataceae,,urn:lsid:ipni.org:names:30000188-2,urn:lsid:ipni.org:publications:14495-2,1893,Nat. Pflanzenfam. [Engler & Prantl] 3(7): 182 (187). 1893 [24 Oct 1893] ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327222-2
urn:lsid:ipni.org:names:327223-1,Brossaea trichophylla,Kuntze,spec.,Ericaceae,,urn:lsid:ipni.org:names:14646-1,urn:lsid:ipni.org:publications:1063-2,1891,Revis. Gen. Pl. 2: 387. 1891 [5 Nov 1891] ,unknown,https://www.ipni.org/n/urn:lsid:ipni.org:names:327223-1
urn:lsid:ipni.org:names:327223-2,Holoregmia,Nees,gen.,Pedaliaceae,,urn:lsid:ipni.org:names:30181551-2,urn:lsid:ipni.org:publications:648-2,1821,Flora 4: 300. 1821 [21 May 1821] ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327223-2
urn:lsid:ipni.org:names:327224-1,Brossaea triquetra,Kuntze,spec.,Ericaceae,,urn:lsid:ipni.org:names:14646-1,urn:lsid:ipni.org:publications:1063-2,1891,Revis. Gen. Pl. 2: 387. 1891 [5 Nov 1891] ,unknown,https://www.ipni.org/n/urn:lsid:ipni.org:names:327224-1
urn:lsid:ipni.org:names:327224-2,Boehmeria,Jacq.,gen.,Urticaceae,,urn:lsid:ipni.org:names:30000535-2,urn:lsid:ipni.org:publications:4624-2,1760,Enum. Syst. Pl. 9 (31). 1760 [Sep-Nov 1760] ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327224-2
urn:lsid:ipni.org:names:327225-2,Dacryodes,Vahl,gen.,Burseraceae,,urn:lsid:ipni.org:names:30002600-2,urn:lsid:ipni.org:publications:4909-2,1810,Skr. Naturhist.-Selsk. 6: 116. 1810 ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327225-2
urn:lsid:ipni.org:names:327226-2,Ctenium,Panz.,gen.,Poaceae,,urn:lsid:ipni.org:names:30000032-2,urn:lsid:ipni.org:publications:19779-2,1813,"Ideen Rev. Gräser 38, 61. 1813 ",tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327226-2
urn:lsid:ipni.org:names:327227-1,Bruckenthalia spiculifolia,Rchb.,spec.,Ericaceae,,urn:lsid:ipni.org:names:14648-1,urn:lsid:ipni.org:publications:934-2,,Fl. Germ. Excurs. 414 (1831). ,unknown,https://www.ipni.org/n/urn:lsid:ipni.org:names:327227-1
urn:lsid:ipni.org:names:327227-2,Philodendron tenuispadix,E.G.Gonç.,spec.,Araceae,,urn:lsid:ipni.org:names:326132-2,urn:lsid:ipni.org:publications:1545-2,2002,Aroideana 25: 19 (-21; figs. 4-5). 2002 [Feb 2003] ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327227-2
urn:lsid:ipni.org:names:327228-2,Taccarum crassispathum,E.G.Gonç.,spec.,Araceae,,urn:lsid:ipni.org:names:30063651-2,urn:lsid:ipni.org:publications:1545-2,2002,Aroideana 25: 21 (-22; figs. 6-10). 2002 [Feb 2003] ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327228-2
urn:lsid:ipni.org:names:327229-2,Xanthosoma acutum,E.G.Gonç.,spec.,Araceae,,urn:lsid:ipni.org:names:30009840-2,urn:lsid:ipni.org:publications:1545-2,2002,Aroideana 25: 22 (24-25; figs. 11-13). 2002 [Feb 2003] ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327229-2
urn:lsid:ipni.org:names:32723-1,Talinopsis,A.Gray,gen.,Portulacaceae,,urn:lsid:ipni.org:names:50000307-1,urn:lsid:ipni.org:publications:1334-2,1852,"Smithsonian Contr. Knowl. 3(5): 14, t. 3 A. 1852 [1 Mar 1852] ; Plantae Wrightianae",unknown,https://www.ipni.org/n/urn:lsid:ipni.org:names:32723-1
urn:lsid:ipni.org:names:327230-1,Bryanthus coeruleus,Dippel,spec.,Ericaceae,,urn:lsid:ipni.org:names:14649-1,urn:lsid:ipni.org:publications:10297-2,,Handb. Laubholzk. i. (1889) 385. ,unknown,https://www.ipni.org/n/urn:lsid:ipni.org:names:327230-1
urn:lsid:ipni.org:names:327230-2,Xanthosoma lucens,E.G.Gonç.,spec.,Araceae,,urn:lsid:ipni.org:names:30009840-2,urn:lsid:ipni.org:publications:1545-2,2002,Aroideana 25: 25 (-28; figs. 14-15). 2002 [Feb 2003] ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327230-2
urn:lsid:ipni.org:names:327231-2,Xanthosoma pulchrum,E.G.Gonç.,spec.,Araceae,,urn:lsid:ipni.org:names:30009840-2,urn:lsid:ipni.org:publications:1545-2,2002,"Aroideana 25: 28 (-30; figs, 16-17). 2002 [Feb 2003] ",tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327231-2
urn:lsid:ipni.org:names:327232-1,Bryanthus × erectus,Lindl. & Paxton,spec.,Ericaceae,,urn:lsid:ipni.org:names:14649-1,urn:lsid:ipni.org:publications:7810-2,,Paxton's Fl. Gard. i. (1850-51) 97. ,unknown,https://www.ipni.org/n/urn:lsid:ipni.org:names:327232-1
urn:lsid:ipni.org:names:327232-2,Ulearum donburnsii,Croat & Feuerstein,spec.,Araceae,,urn:lsid:ipni.org:names:289090-2,urn:lsid:ipni.org:publications:1545-2,2003,Aroideana 25(1): 37 (36-43; figs. 1-18). 2003 [Feb 2003] ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327232-2
urn:lsid:ipni.org:names:327233-1,Bryanthus glanduliflorus,A.Gray,spec.,Ericaceae,,urn:lsid:ipni.org:names:14649-1,urn:lsid:ipni.org:publications:775-2,,Proc. Amer. Acad. Arts vii. (1868) 368. ,unknown,https://www.ipni.org/n/urn:lsid:ipni.org:names:327233-1
urn:lsid:ipni.org:names:327233-2,Philodendron meconostigma,"Croat, Mayo & J.O.Boos",spec.,Araceae,,urn:lsid:ipni.org:names:326132-2,urn:lsid:ipni.org:publications:1545-2,2003,Aroideana 25(1): 63 (-66; figs. 1-5). 2003 [Feb 2003] ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327233-2
urn:lsid:ipni.org:names:327234-1,Bryanthus gmelinii,D.Don,spec.,Ericaceae,,urn:lsid:ipni.org:names:14649-1,,1834,Edinburgh  New Philos. J. 17: 160. 1834 [Jul 1834] ,unknown,https://www.ipni.org/n/urn:lsid:ipni.org:names:327234-1
urn:lsid:ipni.org:names:327234-2,trib. Aconieae,Luferov,trib.,Ranunculaceae,,urn:lsid:ipni.org:names:30000277-2,urn:lsid:ipni.org:publications:18631-2,2002,Komarovia 2: 62. 2002 ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327234-2
urn:lsid:ipni.org:names:327235-1,Bryanthus intermedius,A.Gray,spec.,Ericaceae,,urn:lsid:ipni.org:names:14649-1,urn:lsid:ipni.org:publications:775-2,,Proc. Amer. Acad. Arts vii. (1868) 367. ,unknown,https://www.ipni.org/n/urn:lsid:ipni.org:names:327235-1
urn:lsid:ipni.org:names:327235-2,trib. Delphinieae,Schrödinger,trib.,Ranunculaceae,,urn:lsid:ipni.org:names:30000277-2,urn:lsid:ipni.org:publications:1223-2,1909,Abh. K. K. Zool.-Bot. Ges. Wien 4(5): 58. 1909 ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327235-2
urn:lsid:ipni.org:names:327236-1,Bryanthus musciformis,Nakai,spec.,Ericaceae,,urn:lsid:ipni.org:names:14649-1,,,"Nakai & Koidz. Trees & Shrubs Japan Proper, ed. 1 16 (1922). ",unknown,https://www.ipni.org/n/urn:lsid:ipni.org:names:327236-1
